,centrality,S_0,E_0,I_A_0,I_P_0,I_M_0,I_S_0,H_0,R_0,D_0,S_1,E_1,I_A_1,I_P_1,I_M_1,I_S_1,H_1,R_1,D_1,S_5,E_5,I_A_5,I_P_5,I_M_5,I_S_5,H_5,R_5,D_5,S_10,E_10,I_A_10,I_P_10,I_M_10,I_S_10,H_10,R_10,D_10
12,1251,0.0,0.0,0.0,0.0,0.77139,0.08263999999999998,0.017359999999999997,0.12861,0.0,0.0,0.0,0.0,0.0,0.661158369,0.06829369599999999,0.030404303999999997,0.239883231,0.00026039999999999993,0.0,0.0,0.0,0.0,0.3568054505736133,0.03185237727428807,0.05420585635981868,0.5543479625191013,0.002788353273178649,0.0,0.0,0.0,0.0,0.1650399014234553,0.012277032163886537,0.05306919325504791,0.7626831182413971,0.006930754916213113
13,1351,0.0,0.0,0.0,0.0,0.661158369,0.06829369599999999,0.030404303999999997,0.239883231,0.00026039999999999993,0.0,0.0,0.0,0.0,0.5666788380699,0.05643791037439999,0.0399797668256,0.3361870201701,0.0007164645599999999,0.0,0.0,0.0,0.0,0.5666788380699,0.05643791037439999,0.0399797668256,0.3361870201701,0.0007164645599999999,0.0,0.0,0.0,0.0,0.26211656639062253,0.021753165704475382,0.05606437946557132,0.6556293974733401,0.004436490965990659
14,940,0.2859105559563259,0.09904997075900193,0.016793293274957002,0.0036018023994966535,0.02266867782247692,0.002077969191717956,0.0055661139787316505,0.5585519956199555,0.005779620997336211,0.2829100123120431,0.09606476077468322,0.016787833117406267,0.003591452177160933,0.022670945921191957,0.0020774139799853843,0.005509390882009014,0.5645250781285027,0.005863112707017185,0.2863238386194092,0.0734430532218357,0.015189844309224758,0.003146844725050295,0.020620848868169596,0.001850728920369973,0.005302900010788458,0.5879328067079794,0.0061891346171723685,0.293121812380432,0.048840883517496166,0.012198499294463365,0.002059867694904618,0.017050627840521977,0.0014877389432489691,0.004910770229345165,0.6137542516387795,0.006575548460807942
15,1205,0.0,0.0,0.0,0.0,0.019055918512504308,0.0008506633318522659,0.023575847536756494,0.9414028727926085,0.015114697826278254,0.0,0.0,0.0,0.0,0.01633282775706744,0.0007029881774427125,0.02195533412590931,0.9455405144002508,0.015468335539329602,0.0,0.0,0.0,0.0,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666788380699,0.05643791037439999,0.0399797668256,0.3361870201701,0.0007164645599999999
16,847,0.4185595838038319,0.024518908333241406,0.013711814517727412,0.0010404985350591276,0.020504609634090294,0.0017761494299225128,0.006115093283600815,0.5086893428815774,0.0050839995809492744,0.3446638511870804,0.09693292274855961,0.012345083503717482,0.000889030920859976,0.018510949598932007,0.0015718597423938774,0.005964800828365303,0.5139457754898882,0.0051757259802032865,0.3728302066600734,0.056192611253966254,0.010547536594000498,0.0022869666675074955,0.014211765722954062,0.0011741120193810481,0.005267985294350944,0.5319712483988315,0.005517567388934978,0.3714269529763707,0.04001187769722878,0.00996445275940412,0.0013404272266384517,0.014287278872034717,0.0012570331699097634,0.004489694435481919,0.551335702896626,0.005886579966305703
17,1047,0.0,0.0,0.0,0.0,0.5666788380699,0.05643791037439999,0.0399797668256,0.3361870201701,0.0007164645599999999,0.0,0.0,0.0,0.0,0.4857004321097113,0.04664028913340416,0.046778905554675836,0.4195642121398247,0.001316161062384,0.0,0.0,0.0,0.0,0.26211656639062253,0.021753165704475382,0.05606437946557132,0.6556293974733401,0.004436490965990659,0.0,0.0,0.0,0.0,0.1212416800500583,0.008384439023826892,0.04914007466013621,0.8127387090027712,0.008495097263207381
18,1239,0.0,0.0,0.0,0.0,0.013998866670582503,0.0005809494298386576,0.020430722814070167,0.9491917955342902,0.01579766555121824,0.0,0.0,0.0,0.0,0.011998428623356263,0.00048009660881866666,0.018999271424034896,0.9524180769503606,0.016104126393429292,0.0,0.0,0.0,0.0,0.006475157741112961,0.0002239184464726945,0.014133839224890435,0.9620386361217963,0.017128448465727385,0.0,0.0,0.0,0.0,0.9,0.09999999999999998,0.0,0.0,0.0
19,1034,0.30710784414783776,0.14709255760559317,0.01659711057104161,0.0023592399510685338,0.023664430422289693,0.002054944717154156,0.0068866552549057755,0.48952312694458416,0.004714090385525477,0.3548361620726372,0.09047519303412481,0.01778100212910734,0.005333427988001363,0.022406099270906175,0.0019341303093630478,0.006726894513685804,0.49568970046782557,0.004817390214349063,0.38522781591922584,0.042591928923215235,0.015210046906218515,0.0029858031777090085,0.020821771629281165,0.001813937413664289,0.006178513377573423,0.5199622258130238,0.005207956840088989,0.07158556490673194,0.3410178547483496,0.011758795505752168,0.0027625669764925645,0.015620188605672757,0.0013175395478814346,0.005404979134101136,0.544883506686806,0.00564900388821266
20,1056,0.2924463629501794,0.11946247001104589,0.019354721352418208,0.010119171234083922,0.01985954931173614,0.001706388042446457,0.005885022526371516,0.5258298861056984,0.005336428466020026,0.14056709319280355,0.26412242503394123,0.019476657564949835,0.004331588840688282,0.026128873825764575,0.002422076201686144,0.005739874801062358,0.5317867067351884,0.005424703803915599,0.0,0.0,0.0,0.0,0.5666788380699,0.05643791037439999,0.0399797668256,0.3361870201701,0.0007164645599999999,0.0,0.0,0.0,0.0,0.26211656639062253,0.021753165704475382,0.05606437946557132,0.6556293974733401,0.004436490965990659
21,1148,0.0,0.0,0.0,0.0,0.5666788380699,0.05643791037439999,0.0399797668256,0.3361870201701,0.0007164645599999999,0.0,0.0,0.0,0.0,0.4857004321097113,0.04664028913340416,0.046778905554675836,0.4195642121398247,0.001316161062384,0.0,0.0,0.0,0.0,0.26211656639062253,0.021753165704475382,0.05606437946557132,0.6556293974733401,0.004436490965990659,0.0,0.0,0.0,0.0,0.1212416800500583,0.008384439023826892,0.04914007466013621,0.8127387090027712,0.008495097263207381
22,1316,0.0,0.0,0.0,0.0,0.77139,0.08263999999999998,0.017359999999999997,0.12861,0.0,0.0,0.0,0.0,0.0,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4857004321097113,0.04664028913340416,0.046778905554675836,0.4195642121398247,0.001316161062384,0.0,0.0,0.0,0.0,0.22466010905340256,0.017976816138178458,0.0556359005719504,0.6964497175784944,0.005277456657974229
23,1151,0.0,0.0,0.0,0.0,0.77139,0.08263999999999998,0.017359999999999997,0.12861,0.0,0.0,0.0,0.0,0.0,0.661158369,0.06829369599999999,0.030404303999999997,0.239883231,0.00026039999999999993,0.0,0.0,0.0,0.0,0.3568054505736133,0.03185237727428807,0.05420585635981868,0.5543479625191013,0.002788353273178649,0.0,0.0,0.0,0.0,0.9,0.09999999999999998,0.0,0.0,0.0
